Questions,Answers,Subcategory
วิศวะคอม/ มีทั้งหมดกี่หลักสูตร? มีหลักสูตรอะไรบ้าง?,4 หลักสูตร หลักสูตรที่ 1 หลักสูตรปกติ หลักสูตรที่ 2 หลักสูตรนานาชาติ หลักสูตรที่ 3 หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ข้อมูลสุขภาพ หลักสูตรที่ 4 หลักสูตรเรสิเทอลคอเรจ,คำถามทั่วไป
"วิศวะคอม/หลักสูตรนานาชาติปี 1 เทอม 1 
ต้องลงเรียนกี่หน่วยกิต? เรียนวิชาอะไรบ้าง?","เรียนทั้งหมด 18 หน่วยกิต ได้แก่
ชั้นปีที่ 1 ภาคการศึกษาที่ 1 จำนวนหน่วยกิต
CPE 100 การเขียนโปรแกรมคอมพิวเตอร์สำหรับวิศวกร 3 (Computer Programming for Engineers)
CPE 101 เปิดโลกวิศวกรรมศาสตร์ 3 (Engineering Exploration)
CPE 121 คณิตศาสตร์ดิสครีตสำหรับวิศวกรคอมพิวเตอร์ 3(2-2-6)
(Discrete Mathematics for Computer Engineers)
LNG 105 ภาษาอังกฤษเชิงวิชาการสำหรับนักศึกษานานาชาติ 3
MTH 101 คณิตศาสตร์ 1 
PHY 103 ฟิสิกส์ทั่วไปสำหรับนักศึกษาวิศวกรรมศาสตร์1
(General Physics for Engineering Student I)",หลักสูตรนานาชาติ
"วิศวะคอม/หลักสูตรนานาชาติปี 1 เทอม 2
ต้องลงเรียนกี่หน่วยกิต? เรียนวิชาอะไรบ้าง?","เรียนทั้งหมด 18 หน่วยกิต ได้แก่
CPE 111 การเขียนโปรแกรมด้วยโครงสร้างข้อมูล (Programming with Data Structures)
CPE 122 พื้นฐานวงจรไฟฟ้าและอิเล็กทรอนิกส์ (Basic Circuits and Electronics)
GEN 121 ทักษะการเรียนรู้และการแก้ปัญหา (Learning and Problem Solving Skills)
LNG 106 การฟังและการพูดเชิงวิชาการ (Academic Listening and Speaking)
MTH 102 คณิตศาสตร์ 2 (Mathematics II)
PHY 104 ฟิสิกส์ทั่วไปสำหรับนักศึกษาวิศวกรรมศาสตร์ 2 (General Physics for Engineering Student II)",หลักสูตรนานาชาติ
"วิศวะคอม/หลักสูตรนานาชาติ ปี 2 เทอม 1
ต้องลงเรียนกี่หน่วยกิต? เรียนวิชาอะไรบ้าง?","เรียนทั้งหมด 19 หน่วยกิต ได้แก่  
CPE 212 การออกแบบขั้นตอนวิธี (Algorithm Design)
CPE 223 อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรกะ (Digital Electronics and Logic Design)
GEN 101 พลศึกษา (Physical Education)
GEN 231 มหัศจรรย์แห่งความคิด (Miracle of Thinking)
LNG 107 การอ่านและการเขียนเชิงวิชาการ (Academic Reading and Writing)
MTH 201 คณิตศาสตร์3 (Mathematics III)
CHM 103 *เคมีพื้นฐาน 3 (Fundamental Chemistry)
หรือ
MIC 101 *ชีววิทยาทั่วไป (General Biology)
หมายเหตุ นักศึกษาต้องเลือกลงหนึ่งวิชาระหว่างวิชา CHM 103 เคมีพื้นฐาน หรือ MIC 101
ชีววิทยาทั่วไป วิชาใดวิชาหนึ่ง",หลักสูตรนานาชาติ
"วิศวะคอม/หลักสูตรนานาชาติปี 2 เทอม 2
ต้องลงเรียนกี่หน่วยกิต? เรียนวิชาอะไรบ้าง?","เรียนทั้งหมด 18 หน่วยกิต ได้แก่  
CPE 213 แบบจำลองข้อมูล (Data Models)
CPE 224 สถาปัตยกรรมคอมพิวเตอร์ (Computer Architectures)
CPE 231 ระบบฐานข้อมูล (Database Systems)
STA 302 สถิติสำหรับวิศวกร (Statistics for Engineers)
GEN 111 มนุษย์กับหลักจริยศาสตร์เพื่อการดำเนินชีวิต (Man and Ethics of Living)
GEN xxx วิชาเลือกหมวดวิชาศึกษาทั่วไป 1 (General Education Elective I)",หลักสูตรนานาชาติ
"วิศวะคอม/หลักสูตรนานาชาติ ปี 3 เทอม 1
ต้องลงเรียนกี่หน่วยกิต? เรียนวิชาอะไรบ้าง?","เ่รียนทั้งหมด 16 หน่วยกิต 
CPE 325 ข้อมูลขนาดใหญ่ (Big Data)
CPE 326 ระบบปฏิบัติการ (Operating Systems)
CPE 327 วิศวกรรมซอฟต์แวร์ (Software Engineering)
CPE 332 ประเด็นความเป็นมืออาชีพด้าน (Professional Issues in Computer Engineering)
GEN 241 ความงดงามแห่งชีวิต (Beauty of Life)
PRE 380 เศรษฐศาสตร์วิศวกรรม (Engineering Economics)",หลักสูตรนานาชาติ
"วิศวะคอม/หลักสูตรนานาชาติ ปี 3 เทอม 2
ต้องลงเรียนกี่หน่วยกิต? เรียนวิชาอะไรบ้าง?","เ่รียนทั้งหมด 18 หน่วยกิต + ภาคการศึกษาพิเศษ 2 หน่วยกิต
CPE 314 เครือข่ายคอมพิวเตอร์ (Computer Networks)
CPE 329 ธุรกิจอัจฉริยะ (Business Intelligence)
CPE 327 วิศวกรรมซอฟต์แวร์ (Software Engineering)
GEN 351 การบริหารจัดการยุคใหม่และภาวะผู้นำ (Modern Management and Leadership)
GEN xxx วิชาเลือกหมวดวิชาศึกษาทั่วไป 2 (General Education Elective II)
XXX xxx วิชาเลือกหมวดวิชาเลือกเสรี1 (Free Elective I)
XXX xxx วิชาเลือกหมวดวิชาเลือกเสรี2 (Free Elective 2)
ภาคการศึกษาพิเศษ  CPE 300  ฝึกวิชาชีพคอมพิวเตอร์ (Computer Professional Pratices)",หลักสูตรนานาชาติ
"วิศวะคอม/หลักสูตรนานาชาติปี 4 เทอม 1
ต้องลงเรียนกี่หน่วยกิต? เรียนวิชาอะไรบ้าง?","เ่รียนทั้งหมด 9 หน่วยกิต
CPE 401 โครงงาน1 (Computer Engineering Project I)
CPE xxx วิชาเลือกทาง1 (Computer Engineering Elective I)
CPE xxx วิชาเลือกทาง2 (Computer Engineering Elective II)
หรือ
CPE 405 การศึกษาเชิงบูรณาการกับการทำางาน 1 (Work-Integrated Learning I)
CPE 403 การศึกษาค้นคว้าอิสระ 1 (Independent Study I)
",หลักสูตรนานาชาติ
"วิศวะคอม/หลักสูตรนานาชาติ ปี 4 เทอม 2
ต้องลงเรียนกี่หน่วยกิต? เรียนวิชาอะไรบ้าง?","เ่รียนทั้งหมด 9 หน่วยกิต
CPE 402 โครงงาน2 (Computer Engineering Project II)
CPE xxx วิชาเลือกทาง3 (Computer Engineering Elective III)
CPE xxx วิชาเลือกทาง4 (Computer Engineering Elective IV)
หรือ
CPE 406 การศึกษาเชิงบูรณาการกับการทำงาน 2 (Work-Integrated Learning II)
CPE 404 การศึกษาค้นคว้าอิสระ 2 (Independent Study II)",หลักสูตรนานาชาติ
"วิศวะคอม/หลักสูตรปกติ ปี 1 เทอม 1 
ต้องลงเรียนกี่หน่วยกิต? เรียนวิชาอะไรบ้าง?","เ่รียนทั้งหมด 18 หน่วยกิต
CPE 100 การเขียนโปรแกรมคอมพิวเตอร์สำหรับวิศวกร 
CPE 101 เปิ ดโลกวิศวกรรมศาสตร์ 
(Engineering Exploration)
CPE 121 คณิตศาสตร์ดิสครีตสำหรับวิศวกรคอมพิวเตอร์ 
(Discrete Mathematics for Computer Engineers)
LNG 101 ภาษาองักฤษทั่วไป 3
(General English)
MTH 101 คณิตศาสตร์1 
(Mathematics I)
PHY 103 ฟิสิกส์ทั่วไปสำหรับนักศึกษาวิศวกรรมศาสตร์ 1 
(General Physics for Engineering Student I)",หลักสูตรปกติ
"วิศวะคอม/หลักสูตรปกติ ปี 1 เทอม 2
ต้องลงเรียนกี่หน่วยกิต? เรียนวิชาอะไรบ้าง?","เรียนทั้งหมด 18 หน่วยกิต
CPE 111 การเขียนโปรแกรมด้วยโครงสร้างข้อมูล (Programming with Data Structures)
CPE 122 พื้นฐานวงจรไฟฟ้าและอิเล็กทรอนิกส์ (Basic Circuits and Electronics)
GEN 121 ทักษะการเรียนรู้และการแก้ปัญหา (Learning and Problem Solving Skills)
LNG 102 ภาษาอังกฤษเชิงเทคนิค (Technical English)
MTH 102 คณิตศาสตร์ 2 (Mathematics II)
PHY 104 ฟิสิกส์ทั่วไปสำหรับนักศึกษาวิศวกรรมศาสตร์ 2 (General Physics for Engineering Student)",หลักสูตรปกติ
"วิศวะคอม/หลักสูตรปกติ ปี 2 เทอม 1
ต้องลงเรียนกี่หน่วยกิต? เรียนวิชาอะไรบ้าง?","เรียนทั้งหมด 19 หน่วยกิต
CPE 212 การออกแบบขั้นตอนวิธี  (Algorithm Design) 
CPE 223 อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรกะ (Digital Electronics and Logic Design) 
GEN 101 พลศึกษา (Physical Education) 
GEN 231 มหศัจรรย์แห่งความคิด (Miracle of Thinking) 
LNG 103 ภาษาอังกฤษเพื่อการสื่อสารในที่ทำงาน (English for Workplace Communication) 
MTH 201 คณิตศาสตร์3 3(3-0-6) (Mathematics III) 
CHM 103 เคมีพื้นฐาน 3(3-0-6) (Fundamental Chemistry) 
หรือ MIC 101 ชีววิทยาทั่วไป 3(3-0-6) (General Biology) ",หลักสูตรปกติ
"วิศวะคอม/หลักสูตรปกติ  ปี 2 เทอม 2
ต้องลงเรียนกี่หน่วยกิต? เรียนวิชาอะไรบ้าง?","เรียนทั้งหมด 19 หน่วยกิต
CPE 212 การออกแบบขั้นตอนวิธี (Algorithm Design) 
CPE 223 อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรกะ (Digital Electronics and Logic Design) 
GEN 101 พลศึกษา (Physical Education) 
GEN 231 มหศัจรรยแ์ ห่งความคิด (Miracle of Thinking) 
LNG 103 ภาษาอังกฤษเพื่อการสื่อสารในที่ทำงาน (English for Workplace Communication)
MTH 201 คณิตศาสตร์3 3(3-0-6) (Mathematics III) 
CHM 103 เคมีพื้นฐาน 3(3-0-6) (Fundamental Chemistry) 
หรือ MIC 101 ชีววิทยาทั่วไป 3(3-0-6) (General Biology) ",หลักสูตรปกติ
"วิศวะคอม/หลักสูตรปกติ ปี 3 เทอม 1
ต้องลงเรียนกี่หน่วยกิต? เรียนวิชาอะไรบ้าง?","เรียนทั้งหมด 19 หน่วยกิต
CPE 212 การออกแบบขั้นตอนวิธี (Algorithm Design) 
CPE 223 อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรกะ (Digital Electronics and Logic Design) 
GEN 101 พลศึกษา (Physical Education) 
GEN 231 มหัศจรรย์แห่งความคิด (Miracle of Thinking) 
LNG 103 ภาษาอังกฤษเพื่อการสื่อสารในที่ทำงาน (English for Workplace Communication) 
MTH 201 คณิตศาสตร์3 3(3-0-6) (Mathematics III) 
CHM 103 เคมีพื้นฐาน 3(3-0-6) (Fundamental Chemistry) 
หรือ MIC 101 ชีววิทยาทั่วไป 3(3-0-6) (General Biology) ",หลักสูตรปกติ
"วิศวะคอม/หลักสูตรปกติ  ปี 3 เทอม 2
ต้องลงเรียนกี่หน่วยกิต? เรียนวิชาอะไรบ้าง?","เรียนทั้งหมด 19 หน่วยกิต
CPE 212 การออกแบบขั้นตอนวิธี (Algorithm Design) 
CPE 223 อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรกะ (Digital Electronics and Logic Design) 
GEN 101 พลศึกษา (Physical Education) 
GEN 231 มหัศจรรย์แห่งความคิด (Miracle of Thinking) 
LNG 103 ภาษาอังกฤษเพื่อการสื่อสารในที่ทำงาน (English for Workplace Communication) 
MTH 201 คณิตศาสตร์3 3(3-0-6) (Mathematics III) 
CHM 103 เคมีพื้นฐาน 3(3-0-6) (Fundamental Chemistry) 
หรือ MIC 101 ชีววิทยาทั่วไป 3(3-0-6) (General Biology) ",หลักสูตรปกติ
"วิศวะคอม/หลักสูตรปกติ  ปี 4 เทอม 1
ต้องลงเรียนกี่หน่วยกิต? เรียนวิชาอะไรบ้าง?","เรียนทั้งหมด 19 หน่วยกิต
CPE 212 การออกแบบขั้นตอนวิธี  (Algorithm Design) 
CPE 223 อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรกะ (Digital Electronics and Logic Design) 
GEN 101 พลศึกษา (Physical Education) 
GEN 231 มหัศจรรย์แห่งความคิด (Miracle of Thinking) 
LNG 103 ภาษาอังกฤษเพื่อการสื่อสารในที่ทำงาน (English for Workplace Communication) 
MTH 201 คณิตศาสตร์3 3(3-0-6) (Mathematics III) 
CHM 103 เคมีพื้นฐาน 3(3-0-6) (Fundamental Chemistry) 
หรือ MIC 101 ชีววิทยาทั่วไป 3(3-0-6) (General Biology) ",หลักสูตรปกติ
"วิศวะคอม/หลักสูตรปกติ  ปี 4 เทอม 2
ต้องลงเรียนกี่หน่วยกิต? เรียนวิชาอะไรบ้าง?","เรียนทั้งหมด 19 หน่วยกิต
CPE 212 การออกแบบขั้นตอนวิธี  
(Algorithm Design) 
CPE 223 อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรกะ
(Digital Electronics and Logic Design) 
GEN 101 พลศึกษา 
(Physical Education) 
GEN 231 มหัศจรรย์แห่งความคิด (Miracle of Thinking) 
LNG 103 ภาษาอังกฤษเพื่อการสื่อสารในที่ทำงาน 
(English for Workplace Communication) 
MTH 201 คณิตศาสตร์3 3(3-0-6) (Mathematics III) 
CHM 103 เคมีพื้นฐาน 3(3-0-6) (Fundamental Chemistry) 
หรือ MIC 101 ชีววิทยาทั่วไป 3(3-0-6) (General Biology) ",หลักสูตรปกติ
"วิศวะคอม/หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ข้อมูลสุขภาพ 
ปี 1 เทอม 1 ต้องลงเรียนกี่หน่วยกิต? เรียนวิชาอะไรบ้าง?","เรียนทั้งหมด 19 หน่วยกิต
CPE 212 การออกแบบขั้นตอนวิธี  (Algorithm Design) 
CPE 223 อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรกะ (Digital Electronics and Logic Design) 
GEN 101 พลศึกษา (Physical Education) 
GEN 231 มหัศจรรย์แห่งความคิด (Miracle of Thinking) 
LNG 103 ภาษาอังกฤษเพื่อการสื่อสารในที่ทำงาน 
(English for Workplace Communication) 
MTH 201 คณิตศาสตร์3 3(3-0-6) (Mathematics III) 
CHM 103 เคมีพื้นฐาน 3(3-0-6) (Fundamental Chemistry) 
หรือ MIC 101 ชีววิทยาทั่วไป 3(3-0-6) (General Biology) ",หลักสูตรวิทยาศาสตรบัณฑิต
"วิศวะคอม/หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ข้อมูลสุขภาพ 
ปี 1 เทอม 2 ต้องลงเรียนกี่หน่วยกิต? เรียนวิชาอะไรบ้าง?","เรียนทั้งหมด 19 หน่วยกิต
CPE 212 การออกแบบขั้นตอนวิธี (Algorithm Design) 
CPE 223 อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรกะ (Digital Electronics and Logic Design) 
GEN 101 พลศึกษา (Physical Education) 
GEN 231 มหัศจรรย์แห่งความคิด (Miracle of Thinking)
LNG 103 ภาษาอังกฤษเพื่อการสื่อสารในที่ทำงาน (English for Workplace Communication) 
MTH 201 คณิตศาสตร์3 3(3-0-6) (Mathematics III) 
CHM 103 เคมีพื้นฐาน 3(3-0-6) (Fundamental Chemistry) 
หรือ MIC 101 ชีววิทยาทั่วไป 3(3-0-6) (General Biology) ",หลักสูตรวิทยาศาสตรบัณฑิต
"วิศวะคอม/หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ข้อมูลสุขภาพ 
ปี 2 เทอม 1 ต้องลงเรียนกี่หน่วยกิต? เรียนวิชาอะไรบ้าง?","เรียนทั้งหมด 19 หน่วยกิต
CPE 212 การออกแบบขั้นตอนวิธี (Algorithm Design) 
CPE 223 อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรกะ (Digital Electronics and Logic Design) 
GEN 101 พลศึกษา (Physical Education) 
GEN 231 มหัศจรรย์แห่งความคิด (Miracle of Thinking) 
LNG 103 ภาษาอังกฤษเพื่อการสื่อสารในที่ทำงาน (English for Workplace Communication) 
MTH 201 คณิตศาสตร์3 3(3-0-6) (Mathematics III) 
CHM 103 เคมีพื้นฐาน 3(3-0-6) (Fundamental Chemistry) 
หรือ MIC 101 ชีววิทยาทั่วไป 3(3-0-6) (General Biology) ",หลักสูตรวิทยาศาสตรบัณฑิต
"วิศวะคอม/หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ข้อมูลสุขภาพ 
ปี 2 เทอม 2 ต้องลงเรียนกี่หน่วยกิต? เรียนวิชาอะไรบ้าง?","เรียนทั้งหมด 19 หน่วยกิต
CPE 212 การออกแบบขั้นตอนวิธี (Algorithm Design) 
CPE 223 อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรกะ (Digital Electronics and Logic Design) 
GEN 101 พลศึกษา (Physical Education) 
GEN 231 มหัศจรรย์แห่งความคิด (Miracle of Thinking) 
LNG 103 ภาษาอังกฤษเพื่อการสื่อสารในที่ทำงาน (English for Workplace Communication) 
MTH 201 คณิตศาสตร์3 3(3-0-6) (Mathematics III) 
CHM 103 เคมีพื้นฐาน 3(3-0-6) (Fundamental Chemistry) 
หรือ MIC 101 ชีววิทยาทั่วไป 3(3-0-6) (General Biology) ",หลักสูตรวิทยาศาสตรบัณฑิต
"วิศวะคอม/หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ข้อมูลสุขภาพ 
ปี 3 เทอม 1 ต้องลงเรียนกี่หน่วยกิต? เรียนวิชาอะไรบ้าง?","เรียนทั้งหมด 19 หน่วยกิต
CPE 212 การออกแบบขั้นตอนวิธี  (Algorithm Design) 
CPE 223 อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรกะ (Digital Electronics and Logic Design) 
GEN 101 พลศึกษา (Physical Education) 
GEN 231 มหัศจรรย์แห่งความคิด (Miracle of Thinking) 
LNG 103 ภาษาอังกฤษเพื่อการสื่อสารในที่ทำงาน (English for Workplace Communication) 
MTH 201 คณิตศาสตร์3 3(3-0-6) (Mathematics III) 
CHM 103 เคมีพื้นฐาน 3(3-0-6) (Fundamental Chemistry) 
หรือ MIC 101 ชีววิทยาทั่วไป 3(3-0-6) (General Biology) ",หลักสูตรวิทยาศาสตรบัณฑิต
"วิศวะคอม/วิศวกรรมคอมพิวเตอหลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ข้อมูลสุขภาพ 
ปี 3 เทอม 2 ต้องลงเรียนกี่หน่วยกิต? เรียนวิชาอะไรบ้าง?","เรียนทั้งหมด 19 หน่วยกิต
CPE 212 การออกแบบขั้นตอนวิธี (Algorithm Design) 
CPE 223 อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรกะ (Digital Electronics and Logic Design) 
GEN 101 พลศึกษา (Physical Education) 
GEN 231 มหัศจรรย์แห่งความคิด (Miracle of Thinking) 
LNG 103 ภาษาอังกฤษเพื่อการสื่อสารในที่ทำงาน 
(English for Workplace Communication) 
MTH 201 คณิตศาสตร์3 3(3-0-6) (Mathematics III) 
CHM 103 เคมีพื้นฐาน 3(3-0-6) (Fundamental Chemistry) 
หรือ MIC 101 ชีววิทยาทั่วไป 3(3-0-6) (General Biology) ",หลักสูตรวิทยาศาสตรบัณฑิต
"วิศวะคอม/หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ข้อมูลสุขภาพ 
ปี 4 เทอม 1 ต้องลงเรียนกี่หน่วยกิต? เรียนวิชาอะไรบ้าง?","เรียนทั้งหมด 19 หน่วยกิต
CPE 212 การออกแบบขั้นตอนวิธี (Algorithm Design) 
CPE 223 อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรกะ (Digital Electronics and Logic Design) 
GEN 101 พลศึกษา (Physical Education) 
GEN 231 มหัศจรรย์แห่งความคิด (Miracle of Thinking) 
LNG 103 ภาษาอังกฤษเพื่อการสื่อสารในที่ทำงาน (English for Workplace Communication) 
MTH 201 คณิตศาสตร์3 3(3-0-6) (Mathematics III) 
CHM 103 เคมีพื้นฐาน 3(3-0-6) (Fundamental Chemistry) 
หรือ MIC 101 ชีววิทยาทั่วไป 3(3-0-6) (General Biology) ",หลักสูตรวิทยาศาสตรบัณฑิต
"วิศวะคอม/หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ข้อมูลสุขภาพ 
ปี 4 เทอม 2 ต้องลงเรียนกี่หน่วยกิต? เรียนวิชาอะไรบ้าง?","เรียนทั้งหมด 19 หน่วยกิต
CPE 212 การออกแบบขั้นตอนวิธี  (Algorithm Design) 
CPE 223 อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรกะ (Digital Electronics and Logic Design) 
GEN 101 พลศึกษา (Physical Education) 
GEN 231 มหัศจรรย์แห่งความคิด (Miracle of Thinking) 
LNG 103 ภาษาอังกฤษเพื่อการสื่อสารในที่ทำงาน (English for Workplace Communication) 
MTH 201 คณิตศาสตร์3 3(3-0-6) (Mathematics III) 
CHM 103 เคมีพื้นฐาน 3(3-0-6) (Fundamental Chemistry) 
หรือ MIC 101 ชีววิทยาทั่วไป 3(3-0-6) (General Biology) ",หลักสูตรวิทยาศาสตรบัณฑิต
วิชาเลือกเสรีต้องลงวิชานอกภาคเท่านั้นหรือไม่?,"เรียนทั้งหมด 19 หน่วยกิต
CPE 212 การออกแบบขั้นตอนวิธี (Algorithm Design) 
CPE 223 อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรกะ (Digital Electronics and Logic Design) 
GEN 101 พลศึกษา (Physical Education) 
GEN 231 มหัศจรรย์แห่งความคิด (Miracle of Thinking) 
LNG 103 ภาษาอังกฤษเพื่อการสื่อสารในที่ทำงาน (English for Workplace Communication) 
MTH 201 คณิตศาสตร์3 3(3-0-6) (Mathematics III) 
CHM 103 เคมีพื้นฐาน 3(3-0-6) (Fundamental Chemistry) 
หรือ MIC 101 ชีววิทยาทั่วไป 3(3-0-6) (General Biology) ",คำถามทั่วไป
วิชาภาคบังคับที่มีตัวต่อเนื่องมีอะไรบ้าง หลักสูตรนานาชาติ?,"เรียนทั้งหมด 19 หน่วยกิต
CPE 212 การออกแบบขั้นตอนวิธี (Algorithm Design) 
CPE 223 อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรกะ (Digital Electronics and Logic Design) 
GEN 101 พลศึกษา (Physical Education) 
GEN 231 มหัศจรรย์แห่งความคิด (Miracle of Thinking) 
LNG 103 ภาษาอังกฤษเพื่อการสื่อสารในที่ทำงาน (English for Workplace Communication) 
MTH 201 คณิตศาสตร์3 3(3-0-6) (Mathematics III) 
CHM 103 เคมีพื้นฐาน 3(3-0-6) (Fundamental Chemistry) 
หรือ MIC 101 ชีววิทยาทั่วไป 3(3-0-6) (General Biology) ",หลักสูตรนานาชาติ
