Questions,Answers,Subcategory
วิชาเลือกที่มีวิชาบังคับลงก่อน หลักสูตรนานาชาติ?,"CPE 328 ระบบสมองกลฝังตัว Embedded Systems
วิชาบังคับก่อน : CPE 223
CPE 341 การออกแบบการทำให้เหมาะและวิศวกรรมความเชื่อถือได้ Optimization Design and Reliability Engineering
วิชาบังคับก่อน : CPE 212
CPE 342 ภาษาโปรแกรมจาวา Java Programming Language
วิชาบังคับก่อน : CPE 100
CPE 343 การวิเคราะห์และออกแบบเชิงอ็อบเจกต์ Object Oriented Analysis and Design
วิชาบังคับก่อน : CPE 100
CPE 345 ระบบควบคุมอัตโนมัติ Automatic Control Systems
วิชาบังคับก่อน : CPE 315
CPE 345 ระบบควบคุมอัตโนมัติ Automatic Control Systems
วิชาบังคับก่อน : CPE 315
CPE 351 การประมวลผลสมรรถนะสูงและเทคโนโลยีก้อนเมฆ High Performance Computing and Cloud Technologies
วิชาบังคับก่อน : CPE 224
CPE 361 คอมพิวเตอร์กราฟิกส์ Computer Graphics
วิชาบังคับก่อน : MTH 102
CPE 371 ปัญญาประดิษฐ์ Artificial Intelligence
วิชาบังคับก่อน : CPE 212
CPE 374 ปฏิสัมพันธ์ระหว่างมนุษย์กับคอมพิวเตอร์ Human-Computer Interaction
วิชาบังคับก่อน: CPE 100
CPE 376 การเขียนโปรแกรมหุ่นยนต์อัจฉริยะ Intelligent Robot Programming
วิชาบังคับก่อน : CPE 100
CPE 381 ความมั่นคงของข้อมูลสำหรับการสื่อสารสื่อประสม Data Security for Multimedia Communications
วิชาบังคับก่อน : CPE 121
CPE 382 ความมั่นคงของสารสนเทศและคอมพิวเตอร์ Computer and Information Security
วิชาบังคับก่อน : CPE 121
CPE 406 การศึกษาเชิงบูรณาการกับการทำงาน Work-Integrated Learning II
วิชาบังคับก่อน : CPE 405
CPE 452 การเจาะหาเหมืองข้อมูล Data Mining
วิชาบังคับก่อน: CPE 212
CPE 462 การประมวลผลสัญญาณดิจิทัล Digital Signal Processing
วิชาบังคับก่อน : CPE 315
CPE 463 การประมวลผลรูปภาพและการมองเห็นด้วยคอมพิวเตอร์ Image Processing and Computer Vision
วิชาบังคับก่อน : MTH 201
CPE 466 คอมพิวเตอร์แอนิเมชัน Computer Animation
วิชาบังคับก่อน: CPE 361
CPE 467 การออกแบบและการพัฒนาเกม Game Design and Development
วิชาบังคับก่อน: CPE 361
_________________________________________________
LNG 121 การเรียนภาษาและวัฒนธรรม 3 (Learning Language and Culture) 
วิชาบังคับก่อน : LNG 103 หรือ LNG 107 
LNG 122 การเรียนภาษาอังกฤษด้วยตนเอง (English Through Independent Learning) 
วิชาบังคับก่อน : LNG 103 หรือ LNG 107 
LNG 231 สุนทรียะแห่งการอ่าน (Reading Appreciation) 
วิชาบังคับก่อน : LNG 103 หรือ LNG 107 
LNG 232 การแปลเบื้องต้น (Basic Translation) 
วิชาบังคับก่อน : LNG 103 หรือ LNG 107 
LNG 233 การอ่านอย่างมีวิจารณญาน (Critical Reading) 
วิชาบังคับก่อน : LNG 103 หรือ LNG 107
LNG 234 การสื่อสารระหว่างวัฒนธรรม  (Intercultural Communication) 
วิชาบังคับก่อน : LNG 103 หรือ LNG 107  
LNG 235 ภาษาอังกฤษเพื่องานชุมชน ) (English for Community Work)  
วิชาบังคับก่อน : LNG 103 หรือ LNG 107 
LNG 243 การอ่านและการเขียนเพื่อความส าเร็จในวิชาชีพ (Reading and Writing for Career Success) 
วิชาบังคับก่อน : LNG 103 หรือ LNG 107 
LNG 410 ภาษาอังกฤษธุรกิจ (Business English)  
วิชาบังคับก่อน : LNG 103 หรือ LNG 107 










",หลักสูตรนานาชาติ
วิชาภาคบังคับที่มีวิชาต่อเนื่อง มีอะไรบ้าง หลักสูตรปกติ?,"วิชาภาคบังคับที่มีวิชาต่อเนื่อง แยกตามกลุ่มวิชาดังนี้

MTH 101 คณิตศาสตร์1 (Mathematics I)
MTH 102 คณิตศาสตร์ 2 Mathematics II
วิชาบังคับก่อน : MTH 101 Mathematics I
MTH 201 คณิตศาสตร์3Mathematics III
วิชาบังคับก่อน : MTH 102
STA 302 สถิติสำหรับวิศวกร Statistics for Engineers
วิชาบังคับก่อน : MTH 102
------------------------------------------------------------------
PHY 103 ฟิสิกส์ทั่วไปสำหรับนักศึกษาวิศวกรรมศาสตร์1 (General Physics for Engineering Student I)
PHY 104 ฟิ สิกส์ทั่วไปสำหรับนักศึกษาวิศวกรรมศาสตร์ 2 (General Physics for Engineering Students II)
วิชาบังคับก่อน : PHY 103
-------------------------------------------------------------------
CPE 100 การเขียนโปรแกรมคอมพิวเตอร์สำหรับวิศวกร 
CPE 111 การเขียนโปรแกรมด้วยโครงสร้างข้อมูล Programming with Data Structures
วิชาบังคับก่อน : CPE 100 (ไม่อนุญาตให้นักศึกษาที่ได้ระดับคะแนน F ในวิชา CPE 100 ลงทะเบียนวิชานี้)
CPE 212 การออกแบบขั้นตอนวิธี Algorithm Design
วิชาบังคับก่อน : CPE 111, CPE 121
--------------------------------------------------------------------
CPE 223 อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรกะ
(Digital Electronics and Logic Design)
CPE 328 ระบบสมองกลฝังตัว Embedded Systems
วิชาบังคับก่อน : CPE 223
---------------------------------------------------------------------
LNG 101 ภาษาองักฤษทั่วไป 3 (General English)
LNG 102 ภาษาอังกฤษเชิงเทคนิค (Technical English)
วิชาบังคับก่อน : LNG 101 ภาษาอังกฤษทั่วไป (General English)
LNG 103 ภาษาอังกฤษเพื่อการสื่อสารในที่ทำงาน (English for Workplace Communication)
วิชาบังคับก่อน : LNG 102 ภาษาอังกฤษเชิงเทคนิค (Technical English)










",หลักสูตรปกติ
วิชาเลือกที่มีวิชาบังคับลงก่อน หลักสูตรปกติ?,"CPE 341 การออกแบบการทำให้เหมาะและวิศวกรรมความเชื่อถือได้ Optimization Design and Reliability Engineering
วิชาบังคับก่อน : CPE 212
CPE 342 ภาษาโปรแกรมจาวา Java Programming Language
วิชาบังคับก่อน : CPE 100
CPE 345 ระบบควบคุมอตัโนมัติ Automatic Control Systems
วิชาบังคับก่อน : CPE 315
CPE 351 การประมวลผลสมรรถนะสูงและเทคโนโลยกี้อนเมฆ High Performance Computing and Cloud Technologies
วิชาบังคับก่อน : CPE 224
CPE 361 คอมพิวเตอร์กราฟิกส์ Computer Graphics
วิชาบังคับก่อน : MTH 102
CPE 371 ปัญญาประดิษฐ์ Artificial Intelligence
วิชาบังคับก่อน : CPE 212
CPE 374 ปฏิสัมพนัธ์ระหว่างมนุษย์กบั คอมพวิเตอร์ Human-Computer Interaction
วิชาบังคับก่อน: CPE 100
CPE 376 การเขียนโปรแกรมหุ่นยนต์อัจฉริยะ Intelligent Robot Programming
วิชาบังคับก่อน : CPE 100
CPE 381 ความมั่นคงของข้อมูลสำหรับการสื่อสารสื่อประสม Data Security for Multimedia Communications
วิชาบังคับก่อน : CPE 121
CPE 382 ความมั่นคงของสารสนเทศและคอมพิวเตอร์ Computer and Information Security
วิชาบังคับก่อน : CPE 121
CPE 452 การเจาะหาเหมืองข้อมูล Data Mining
วิชาบังคับก่อน: CPE 212
CPE 462 การประมวลผลสัญญาณดิจิทัล Digital Signal Processing
วิชาบังคับก่อน : CPE 315
CPE 463 การประมวลผลรูปภาพและการมองเห็นด้วยคอมพิวเตอร์ Image Processing and Computer Vision
วิชาบังคับก่อน : MTH 201
CPE 466 คอมพิวเตอร์แอนิเมชัน Computer Animation
วิชาบังคับก่อน: CPE 361
CPE 467 การออกแบบและการพัฒนาเกม 
Game Design and Development
วิชาบังคับก่อน: CPE 361
____________________________________________________________
LNG 121 การเรียนภาษาและวัฒนธรรม 3 (Learning Language and Culture) 
วิชาบังคับก่อน : LNG 103 หรือ LNG 107 
LNG 122 การเรียนภาษาอังกฤษด้วยตนเอง (English Through Independent Learning) 
วิชาบังคับก่อน : LNG 103 หรือ LNG 107 
LNG 231 สุนทรียะแห่งการอ่าน (Reading Appreciation) 
วิชาบังคับก่อน : LNG 103 หรือ LNG 107 
LNG 232 การแปลเบื้องต้น (Basic Translation) 
วิชาบังคับก่อน : LNG 103 หรือ LNG 107 
LNG 233 การอ่านอย่างมีวิจารณญาน (Critical Reading) 
วิชาบังคับก่อน : LNG 103 หรือ LNG 107
LNG 234 การสื่อสารระหว่างวัฒนธรรม  (Intercultural Communication) 
วิชาบังคับก่อน : LNG 103 หรือ LNG 107  
LNG 235 ภาษาอังกฤษเพื่องานชุมชน ) (English for Community Work)  
วิชาบังคับก่อน : LNG 103 หรือ LNG 107 
LNG 243 การอ่านและการเขียนเพื่อความส าเร็จในวิชาชีพ (Reading and Writing for Career Success) 
วิชาบังคับก่อน : LNG 103 หรือ LNG 107 
LNG 410 ภาษาอังกฤษธุรกิจ (Business English)  
วิชาบังคับก่อน : LNG 103 หรือ LNG 107 
",หลักสูตรปกติ
"วิชาภาคบังคับที่มีวิชาต่อเนื่อง  หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ข้อมูลสุขภาพ 
มีอะไรบ้าง ?","วิชาภาคบังคับที่มีวิชาต่อเนื่อง แยกตามกลุ่มวิชาดังนี้
MTH 101 คณิตศาสตร์1 (Mathematics I)
MTH 102 คณิตศาสตร์ 2 Mathematics II
วิชาบังคับก่อน : MTH 101 Mathematics I
----------------------------------------------------------------------------
CPE 102 การเขียนโปรแกรมคอมพิวเตอร์พื้นฐาน (Computer Programming Basics)
CPE 111 การเขียนโปรแกรมด้วยโครงสร้างข้อมูล Programming with Data Structures
----------------------------------------------------------------------------
LNG 101 ภาษาอังกฤษทั่วไป  (General English)
LNG 102 ภาษาอังกฤษเชิงเทคนิค (Technical English)
วิชาบังคับก่อน : LNG 101 ภาษาอังกฤษทั่วไป (General English)
LNG 103 ภาษาอังกฤษเพื่อการสื่อสารในที่ทำงาน (English for Workplace Communication)
วิชาบังคับก่อน : LNG 102 ภาษาอังกฤษเชิงเทคนิค (Technical English)
",หลักสูตรวิทยาศาสตรบัณฑิต
วิชาเลือกที่มีวิชาบังคับลงก่อน หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ข้อมูลสุขภาพ ?,"CPE 356 การตลาดและโมเดลเชิงทำนาย Predictive Analytics in Marketing
วิชาบังคับก่อน : CPE 352
CPE 357 การวิเคราะห์ทรัพยากรบุคคล People Analytics
วิชาบังคับก่อน : CPE 352
CPE 371 ปัญญาประดิษฐ์ Artificial Intelligence
วิชาบังคับก่อน : CPE 212
CPE 463 การประมวลผลรูปภาพและการมองเห็นด้วยคอมพิวเตอร์ Image Processing and Computer Vision
วิชาบังคับก่อน : MTH 201

LNG 106การฟังและการพูดเชิงวิชาการ (Academic Listening and Speaking)
วิชาบังคับก่อน : LNG 105 ภาษาอังกฤษเชิงวิชาการสำหรับนักศึกษานานาชาติ
LNG 107การอ่านและการเขียนเชิงวิชาการ (Academic Reading and Writing)
วิชาบังคับก่อน : LNG 106 การฟังและการพูดเชิงวิชาการ
LNG 121 การเรียนภาษาและวัฒนธรรม (Learning Language and Culture)
วิชาบังคับก่อน : LNG 103 หรือ LNG 107
LNG 122 การเรียนภาษาอังกฤษด้วยตนเอง (English Through Independent Learning)
วิชาบังคับก่อน : LNG 103 หรือ LNG 107
LNG 231 สุนทรียะแห่งการอ่าน (Reading Appreciation)
วิชาบังคับก่อน : LNG 103 หรือ LNG 107
LNG 232 การแปลเบื้องต้น (Basic Translation)
วิชาบังคับก่อน : LNG 103 หรือ LNG 107
LNG 233 การอ่านอย่างมีวิจารณญาน (Critical Reading)
วิชาบังคับก่อน : LNG 103 หรือ LNG 107
LNG 234 การสื่อสารระหว่างวัฒนธรรม (Intercultural Communication)
วิชาบังคับก่อน : LNG 103 หรือ LNG 107
LNG 235 ภาษาอังกฤษเพื่องานชุมชน (English for Community Work)
วิชาบังคับก่อน : LNG 103 หรือ LNG 107
LNG 243 การอ่านและการเขียนเพื่อความส าเร็จในวิชาชีพ (Reading and Writing for Career Success)
วิชาบังคับก่อน : LNG 103 หรือ LNG 107
LNG 410 ภาษาอังกฤษธุรกิจ (Business English)
วิชาบังคับก่อน : LNG 103 หรือ LNG 107",หลักสูตรวิทยาศาสตรบัณฑิต
วิชา CPE100/Programming มีวิชาตัวต่อมั้ยครับ?,CPE111 Data Stucture,คำถามทั่วไป
วิชา CPE121/Discrete มีวิชาตัวต่อมั้ยครับ?,ไม่มีครับ,คำถามทั่วไป
วิชา CPE111/Data Structure มีวิชาตัวต่อมั้ยครับ?,ไม่มี แต่จำเป็นต้องเรียนวิชา CPE100 Programing ก่อน,คำถามทั่วไป
หน่วยกิตที่ต้องเก็บให้ครบก่อนจบหรือไม่?,ต้องเก็บให้ครบตามจำนวนหน่วยกิตของแต่ล่ะหลักสูตร,คำถามทั่วไป
วิศวกรรมคอมพิวเตอร์หลักสูตรปกติ ปีที่1-2 เรียนอะไรบ้าง?,วิชาวิศวกรรมเบื้องต้นและพื้นฐานคอมพิวเตอร์ เช่น programing และ Data Structure,หลักสูตรปกติ
วิศวกรรมคอมพิวเตอร์หลักสูตรปกติ ปีที่ 3 เรียนอะไรบ้าง?,วิชาหลักสัญญานและระบบ Embeded System วิชาเลือกเสรีตามความสนใจและการฝึกงานภาคฤดูร้อน,หลักสูตรปกติ
วิศวกรรมคอมพิวเตอร์หลักสูตรปกติ ปีที่ 4 เรียนอะไรบ้าง?,วิชาเลือกตามความสนใจและ Senior Project,หลักสูตรปกติ
วิศวกรรมคอมพิวเตอร์หลักสูตรนานาชาติ ปีที่1-2 เรียนอะไรบ้าง?,วิชาวิศวกรรมเบื้องต้นและพื้นฐานคอมพิวเตอร์ เช่น programing และ Data Structure,หลักสูตรนานาชาติ
วิศวกรรมคอมพิวเตอร์หลักสูตรนานาชาติ ปีที่ 3 เรียนอะไรบ้าง?,"วิิชาBusiness and Data Science เช่น Big Data, Bussiness Intelligence เป็นต้น วิชาเลือกเสรีตามความสนใจและการฝึกงานภาคฤดูร้อน",หลักสูตรนานาชาติ
วิศวกรรมคอมพิวเตอร์หลักสูตรนานาชาติ ปีที่ 4 เรียนอะไรบ้าง?,สามารถทำ Senior Project หรือ สหกิจได้ (Work-integrated Learning),หลักสูตรนานาชาติ
วิศวกรรมคอมพิวเตอร์หลักสูตรวิทยาศาตร์ข้อมูลสุขภาพ ปีที่1-2 เรียนอะไรบ้าง?,เรียนวิชาพื้นฐานของคอมพิวเตอร์และวิทยาศาสตร์สุขภาพ,หลักสูตรวิทยาศาสตรบัณฑิต
วิศวกรรมคอมพิวเตอร์หลักสูตรวิทยาศาตร์ข้อมูลสุขภาพ ปีที่ 3 เรียนอะไรบ้าง?,เรียนวิชาพื้นฐานของคอมพิวเตอร์และวิทยาศาสตร์สุขภาพและการวิเคราะห์ข้อมูล การจัดการข้อมูลสุขภาพ มีการฝึกงานภาคฤดูร้อนหรือสหกิจ,หลักสูตรวิทยาศาสตรบัณฑิต
วิศวกรรมคอมพิวเตอร์หลักสูตรวิทยาศาตร์ข้อมูลสุขภาพ ปีที่ 4 เรียนอะไรบ้าง?,วิชาเลือกด้านวิทยาศาสตร์สุขภาพหรือด้านคอมพิวเตอรืและ Senior Project,หลักสูตรวิทยาศาสตรบัณฑิต
วิศวกรรมคอมพิวเตอร์หลักสูตรเรสิเดนทอล คอเลจ ปีที่ 1-2 เรียนอะไรบ้าง?,ใช้เรียนหลักสูตรพื้นฐานของคณะวิศวกรรมศาสตร์เรียน ณ มจธ.ราชบุรี และเรียนรายวิชาเกี่ยวกับวิศวะคอมพิวเตอร์ ณ มจธ. บางมด,หลักสูตรRC
วิศวกรรมคอมพิวเตอร์หลักสูตรเรสิเดนทอล คอเลจ ปีที่ 3-4 เรียนอะไรบ้าง?,วิชาหลักสัญญานและระบบ Embeded System วิชาเลือกเสรีตามความสนใจ การฝึกงานและการทำ Senior Project,หลักสูตรRC
วิศวกรรมคอมพิวเตอร์หลักสูตรปกติ มีกี่หน่วยกิต?,"มีทั้งหมด 127 หน่วยกิต โดยแบ่งเป็น
- หมวดวิชาศึกษาทั่วไป 31 หน่วยกิต 
- หมวดวิชาเฉพาะ 90 หน่วยกิต (วิชาแกน 30 หน่วยกิต,วิชาเฉพาะด้าน 48 หน่วยกิตและวิชาเลือก 12 หน่วยกิต)
- หมวดวิชาเลือกเสรี 6 หน่วยกิต",หลักสูตรปกติ
วิศวะคอมหลักสูตรปกติมีระยะเวลาในการศึกษากี่ปี?,ระดับปริญญาตรี ระยะเวลาการศึกษาตามหลักสูตรเต็มเวลา โดยปกติใช้เวลา 4 ปีการศึกษา และไม่เกิน 8 ปีการศึกษา,หลักสูตรปกติ
วิศวะคอมหลักสูตรปกติมีอัตราค่าเรียนเท่าไหร่,"รวมค่าใช้จ่ายตลอดหลักสูตร 4 ปี ประมาณ 168,000 บาท โดยมีค่าบำรุงการศึกษาเหมาจ่าย 21,000 บาท /ภาคการศึกษา หรือ 42,000 บาท /ปีการศึกษา",หลักสูตรปกติ
วิศวะคอมหลักสูตรนานาชาติมีอัตราค่าเรียนเท่าไหร่,"รวมค่าใช้จ่ายตลอดหลักสูตร 4 ปี ประมาณ 448,000 บาท โดยมีค่าบำรุงการศึกษาเหมาจ่าย 56,000 บาท /ภาคการศึกษา หรือ 112,000 บาท /ปีการศึกษา",หลักสูตรนานาชาติ
วิศวะคอมหลักสูตรวิทยาศาตร์ข้อมูลสุขภาพมีอัตราค่าเรียนเท่าไหร่,"รวมค่าใช้จ่ายตลอดหลักสูตร 4 ปี ประมาณ 448,000 บาท โดยมีค่าบำรุงการศึกษาเหมาจ่าย 56,000 บาท /ภาคการศึกษา หรือ 112,000 บาท /ปีการศึกษา",หลักสูตรวิทยาศาสตรบัณฑิต
วิศวกรรมคอมพิวเตอร์หลักสูตรนานาชาติ มีกี่หน่วยกิต?,"มีทั้งหมด 127 หน่วยกิต โดยแบ่งเป็น
- หมวดวิชาศึกษาทั่วไป 31 หน่วยกิต 
- หมวดวิชาเฉพาะ 90 หน่วยกิต (วิชาแกน 30 หน่วยกิต, วิชาเฉพาะด้าน 48 หน่วยกิตและวิชาเลือก 12 หน่วยกิต)
- หมวดวิชาเลือกเสรี 6 หน่วยกิต",หลักสูตรนานาชาติ
วิศวะคอมพิวเตอร์แต่ละหลักสูตรมีระยะเวลาในการศึกษากี่ปี?,ระดับปริญญาตรี ทุกหลักสูตรมีระยะเวลาการศึกษาตามหลักสูตรเต็มเวลา โดยปกติใช้เวลา 4 ปีการศึกษา และไม่เกิน 8 ปีการศึกษา,คำถามทั่วไป
วิศวกรรมคอมพิวเตอร์หลักสูตรวิทยาศาตร์ข้อมูลสุขภาพ มีกี่หน่วยกิต? ,จำนวนหน่วยกิตรวมตลอดหลักสูตร 125 หน่วยกิต,หลักสูตรวิทยาศาสตรบัณฑิต
วิชาภาษาอังกฤษ LNG มีเกณท์การเรื่มเรียนอย่างไร หลักสูตรนานาชาติ ?,"LNG 106การฟังและการพูดเชิงวิชาการ (Academic Listening and Speaking)
วิชาบังคับก่อน : LNG 105 ภาษาอังกฤษเชิงวิชาการสำหรับนักศึกษานานาชาติ หรือมีคะแนนสอบภาษาอังกฤษไม่ต่ำกว่า 56% (ตามเกณฑ์การคัดเลือกนักศึกษาของ
มหาวิทยาลัยฯ)
LNG 107การอ่านและการเขียนเชิงวิชาการ (Academic Reading and Writing)
วิชาบังคับก่อน : LNG 106 การฟังและการพูดเชิงวิชาการ หรือมีคะแนนสอบภาษาอังกฤษไม่ต่ำกว่า 76% (ตามเกณฑ์การคัดเลือกนักศึกษาของมหาวิทยาลัยฯ)""",หลักสูตรนานาชาติ
วิชาภาษาอังกฤษ LNG มีเกณท์การเรื่มเรียนอย่างไร หลักสูตรปกติ ?,"LNG 102 ภาษาอังกฤษเชิงเทคนิค (Technical English)
วิชาบังคับก่อน : LNG 101 ภาษาอังกฤษทั่วไป (General English) หรือมีคะแนนสอบ ภาษาอังกฤษไม่ต่ำกว่า 50% (ตามเกณฑ์การคัดเลือกนักศึกษาของมหาวิทยาลัย)
LNG 103 ภาษาอังกฤษเพื่อการสื่อสารในที่ทำงาน (English for Workplace Communication)
วิชาบังคับก่อน : LNG 102 ภาษาอังกฤษเชิงเทคนิค (Technical English)",หลักสูตรปกติ
"วิชาภาษาอังกฤษ LNG มีเกณท์การเรื่มเรียนอย่างไร หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาวิทยาศาสตร์ข้อมูลสุขภาพ ?","LNG 102 ภาษาอังกฤษเชิงเทคนิค (Technical English)
วิชาบังคับก่อน : LNG 101 ภาษาอังกฤษทั่วไป (General English) หรือมีคะแนนสอบ ภาษาอังกฤษไม่ต่ำกว่า 50% (ตามเกณฑ์การคัดเลือกนักศึกษาของมหาวิทยาลัย)
LNG 103 ภาษาอังกฤษเพื่อการสื่อสารในที่ทำงาน (English for Workplace Communication)
วิชาบังคับก่อน : LNG 102 ภาษาอังกฤษเชิงเทคนิค (Technical English)",หลักสูตรวิทยาศาสตรบัณฑิต
วิชา CPE122/Circuits มีวิชาตัวต่อมั้ยครับ?,ไม่มีค่ะ,คำถามทั่วไป
วิชา CPE212/Algorithm มีวิชาตัวต่อมั้ยครับ?,ไม่มีค่ะ,คำถามทั่วไป
วิชา CPE223/Digital มีวิชาตัวต่อมั้ยครับ?,ไม่มีค่ะ,คำถามทั่วไป
วิชา CPE213/Data model วิชาตัวต่อมั้ยครับ?,ไม่มีค่ะ,คำถามทั่วไป
วิชา CPE224/Computer architectures มีวิชาตัวต่อมั้ยครับ?,ไม่มีค่ะ,คำถามทั่วไป
วิชา CPE231/Database มีวิชาตัวต่อมั้ยครับ?,ไม่มีค่ะ,คำถามทั่วไป
วิชา CPE325/Big data มีวิชาตัวต่อมั้ยครับ?,ไม่มีค่ะ,คำถามทั่วไป
วิชา CPE326/Operating systems มีวิชาตัวต่อมั้ยครับ?,ไม่มีค่ะ,คำถามทั่วไป
วิชา CPE327/Software engineering มีวิชาตัวต่อมั้ยครับ?,ไม่มีค่ะ,คำถามทั่วไป
วิชา CPE332/Professional issuesมีวิชาตัวต่อมั้ยครับ?,ไม่มีค่ะ,คำถามทั่วไป
วิชา CPE342/Java programmingมีวิชาตัวต่อมั้ยครับ?,ไม่มีค่ะ,คำถามทั่วไป
วิชา CPE314/Computer networksมีวิชาตัวต่อมั้ยครับ?,ไม่มีค่ะ,คำถามทั่วไป
วิชา CPE329/Business intelligence มีวิชาตัวต่อมั้ยครับ?,ไม่มีค่ะ,คำถามทั่วไป
วิชา CPE343/Object orientedมีวิชาตัวต่อมั้ยครับ?,ไม่มีค่ะ,คำถามทั่วไป
วิชา CPE375/Interactive computingมีวิชาตัวต่อมั้ยครับ?,ไม่มีค่ะ,คำถามทั่วไป
วิชา CPE101/Exploration มีวิชาตัวต่อมั้ยครับ?,ไม่มีค่ะ,คำถามทั่วไป
ฝึกงานจำเป็นต้องครบ40ชั่วโมงไหม？,จำเป็นต้องเก็บชั่วโมงการทำงานให้ครบ 40 ชั่วโมง,ฝึกงาน
ถ้าไม่ได้เป็นนักศึกษาชั้นปีที่ 3 สามารถฝึกงานได้หรือไม่？,สามารถฝึกงานได้ แต่จะไม่ถูกบันทึกเข้าระบบว่าผ่านการฝึกงานแล้ว เมื่อเป็นนักศึกษาปีที่ 3 ก็จำเป็นที่จะต้องฝึกงานใหม่อีกครั้งตามหลักสูตร,ฝึกงาน
ถ้าต้องการฝึกงานต้องทำอย่างไรบ้าง?,นักศึกษาสามารถติดต่อบริษัทที่ตัวเองสนใจ และสามารถสมัครกับทางบริษัทเพื่อฝึกงานได้โดยตรงเลย แต่ถ้าเป็นนักสึกษาชั้นปีที่ 3 หลังจากได้รับจดมหายการตอบรับเข้าบริษัทแล้ว นักสึกษาสามารถนำจดหมายมาแจ้งที่ภาควิชาได้ด้วยตนเองหรือ ให้ทางบริษัทเป็นผู้ส่งจดมมายตอบรับหรืออีมเลล์ให้กับทางภาควิชา,ฝึกงาน
ถ้าต้องการทำ Work Integrate Leaning หรือ Wil ต้องทำอย่างไร?,"ต้องเป็นนักศึกษาหลักสูตรนานาชาติเท่านั้น โดยนักศึกษาชั้นปีที่ 4 ของหลักสูตรนานาชาติจะสามารถเลือกทำ Senior project หรือ Work integrate Learning 
ได้อย่างใดอย่างนึง โดยหากนักศึกษาต้องการทำ Work Integrate Learning นักศึกษาจะต้องเป็นผู้ที่ติดต่อบริษัทเพื่อขอฝึกงานตามระยะเวลาที่มหาวิทยาลัยกำหนดด้วยตัวเอง
",WIL
Work Integrate Leaning หรือ Wil ทำตั้งแต่ช่วงเวลาไหนถึงไหน?,ปี 4 เทอม 1 ปี 4 เทอม 2,WIL
Work Integrate Leaning หรือ Wil จำเป็นที่ลงเลือกวิชาเลือกเสรีหรือไม่?,ไม่จำเป้นต้องลงวิชาเลือกเสรี เพราะ Work Integrate Learning ได้ลงแทนหน่วยกิตของวิชาเลือกเสรีไปแล้ว,WIL
หากไม่สามารถหาที่ฝึกงานในช่วงนี้ได้ จะต้องดรอปวิชาฝึกงานไหม,นักศึกษา สามารถติดต่อมาที่ภาควิชาเพื่อเช็คเวลาฝึกงานอื่นตามที่คณะ/ภาควิชากำหนดได้ โดยไม่ต้องดรอปวิชาฝึกงาน,ฝึกงาน
หากไม่่สามารถฝึกงานได้ต้องทำอย่างไร,นักศึกษาสามารถติดต่อที่ ภาควิชาหรืออาจารย์ที่ปรึกษา เพื่อขอรายละเอียดแผนการการฝึกงานได้,ฝึกงาน